Participant ID,Output Position,Sample name,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
116002566,A01,4032760081,31.9,2,1.94,0.02,0.41,0.8,0.4
116002489,B01,4032760073,33.52,2,1.99,0.02,0.42,0.84,0.42
116002439,C01,4032760102,3.91,2.15,0.53,0.05,0.18,0.1,0.05
116002418,D01,4032760057,54.06,2.05,1.84,0.03,0.73,1.35,0.66
116002399,E01,4032760095,9.79,1.89,1.49,0.03,0.16,0.24,0.13
116002375,F01,4032760078,3.9,1.71,0.07,0.03,1.44,0.1,0.06
116000211,G01,4032760094,12.41,1.96,1.03,0.04,0.3,0.31,0.16
116000199,H01,4032760089,42.47,2.14,1.69,0.07,0.63,1.06,0.5
116000197,A02,4032760088,7.74,1.97,0.13,0,1.51,0.19,0.1
116000190,B02,4032760092,54.41,2.1,1.33,0.03,1.02,1.36,0.65
116000180,C02,4032760100,46.39,2.07,1.36,0.03,0.85,1.16,0.56
QCNC162,D02,4032760076,0.96,4.37,0.08,0.04,0.3,0.02,0.01
