Participant ID,DropPlate Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
115003554,A01,1049537840,13.31,2.12,0.07,0.03,4.94,0.33,0.16
115003293,B01,1049537841,14.28,2.09,0.69,0.03,0.52,0.36,0.17
115003062,C01,1049537842,33.16,2.05,1.53,0.05,0.54,0.83,0.4
112001029,D01,1049537843,66.4,2.03,1.58,0.07,1.05,1.66,0.82
112000809,E01,1049537844,15.12,2.1,0.09,0.05,4.26,0.38,0.18
111001414,F01,1049537845,85.42,2.09,1.71,0.07,1.25,2.14,1.02
111001295,G01,1049537846,120.78,1.98,1.37,0.09,2.21,3.02,1.52
111001288,H01,1049537847,68.81,1.95,1.31,0.08,1.31,1.72,0.88
111001129,A02,1049537848,67.69,1.98,1.21,0.06,1.4,1.69,0.85
111001126,B02,1049537849,25.23,2.05,0.89,0.04,0.71,0.63,0.31
111001116,C02,1049537850,42.17,2.1,0.5,0.04,2.11,1.05,0.5
QCNC182,D02,1049537851,0.87,0.8,0.02,0.04,1.19,0.02,0.03
