Participant ID,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
122000484,A9,2.84,1.27,0.05,0.04,1.56,0.07,0.06
122000481,B9,2.64,1.51,0.03,0.02,2.06,0.07,0.04
120000204,C9,1.9,1.06,0.69,0.04,0.07,0.05,0.04
120000198,D9,2.53,1.23,0.23,0.04,0.28,0.06,0.05
117000381,E9,2.39,1.32,0.02,0.04,3.12,0.06,0.05
115003841,F9,7.74,1.62,0.14,0.08,1.35,0.19,0.12
115003775,G9,9.05,1.63,0.29,0.11,0.78,0.23,0.14
115003108,H9,8.59,1.53,0.1,0.2,2.14,0.21,0.14
QCNC216,A10,1.47,1.33,0.1,0.04,0.38,0.04,0.03
blank_74,B10,0,-,-,0,0,0,0
