Sample name,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
sample_1,A1,1.51,1.41,0.11,0.05,0.35,0.04,0.03
sample_2,B1,0.58,1.7,0.03,0.01,0.5,0.01,0.01
sample_3,C1,0.75,1.46,0.25,0.03,0.07,0.02,0.01
sample_4,D1,0.98,1.29,0.05,0.03,0.51,0.02,0.02
sample_5,E1,0.49,0.7,0.07,0.02,0.16,0.01,0.02
sample_6,F1,1.79,1.54,0.31,0.03,0.14,0.04,0.03
sample_7,G1,1.36,1.02,0.13,0.03,0.26,0.03,0.03
sample_8,H1,1.29,1.38,0.01,0.02,3.15,0.03,0.02
sample_9,A2,2.01,1.18,0.01,0.05,3.58,0.05,0.04
sample_10,B2,-0.4,1.11,0,0.01,3.16,-0.01,-0.01
sample_11,C2,0.56,1.13,0.02,0.02,0.75,0.01,0.01
sample_12,D2,0.46,4.83,0,0.01,4.63,0.01,0
blank_13,E2,0,-,-,0,0,0,0
