,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
0,2022-04-20,RTB-CNS,Chemagen,1.94,2.18,149.54,22.431
1,2022-04-28,RTB-CNS,Chemagen,2.05,2.37,94.87,14.2305
2,2022-04-05,RTB-CNS,Chemagen,1.98,2.23,86.57,12.985499999999998
3,2022-04-19,RTB-CNS,Chemagen,1.92,2.29,46.26,6.939
4,2022-04-05,RTB-CNS,Chemagen,1.98,2.33,122.09,18.3135
5,2022-04-28,RTB-CNS,Chemagen,1.98,2.35,140.28,21.042
6,2022-04-19,RTB-CNS,Chemagen,1.9,1.9,90.04,13.506000000000002
7,2022-04-05,RTB-CNS,Chemagen,1.96,2.26,77.81,11.6715
8,2022-04-19,RTB-CNS,Chemagen,1.92,1.37,84.65,12.6975
9,2022-04-20,RTB-CNS,Chemagen,1.99,2.28,128.82,19.323
10,2022-04-19,RTB-CNS,Chemagen,1.83,2.48,47.99,7.1985
11,2022-04-19,RTB-CNS,Chemagen,1.87,2.13,80.19,12.0285
12,2022-04-05,RTB-CNS,Chemagen,1.97,2.32,88.0,13.2
13,2022-04-28,RTB-CNS,Chemagen,2.03,2.18,67.04,10.056000000000001
14,2022-04-06,RTB-CNS,Chemagen,2.08,2.05,73.22,10.983
15,2022-04-19,RTB-CNS,Chemagen,1.95,2.05,137.39,20.608499999999996
16,2022-04-19,RTB-CNS,Chemagen,1.98,2.48,79.01,11.8515
17,2022-04-05,RTB-CNS,Chemagen,1.97,2.28,98.79,14.818500000000002
18,2022-04-05,RTB-CNS,Chemagen,1.9,1.96,94.07,14.110499999999998
19,2022-04-05,RTB-CNS,Chemagen,1.96,2.32,125.37,18.8055
20,2022-04-20,RTB-CNS,Chemagen,1.96,2.08,114.51,17.1765
21,2022-04-20,RTB-CNS,Chemagen,1.95,2.19,113.84,17.076
22,2022-04-05,RTB-CNS,Chemagen,1.94,2.32,119.71,17.9565
23,2022-04-19,RTB-CNS,Chemagen,1.9,1.83,144.52,21.678
24,2022-04-19,RTB-CNS,Chemagen,1.95,2.28,90.59,13.5885
25,2022-04-19,RTB-CNS,Chemagen,1.99,2.18,53.35,8.0025
26,2022-04-19,RTB-CNS,Chemagen,1.9,2.42,148.99,22.3485
27,2022-04-11,RTB-CNS,Chemagen,1.91,2.37,91.78,13.767
28,2022-04-20,RTB-CNS,Chemagen,1.95,2.26,136.02,20.403
29,2022-04-11,RTB-CNS,Chemagen,2.03,1.92,104.43,15.664500000000002
30,2022-04-11,RTB-CNS,Chemagen,1.97,1.67,52.32,7.848
31,2022-04-19,RTB-CNS,Chemagen,1.91,1.0,82.99,12.4485
32,2022-04-20,RTB-CNS,Chemagen,1.94,2.13,109.33,16.3995
