Sample name,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
4015652577,A1,243.86,1.87,2.21,0.1,2.21,4.88,2.6
4015652578,B1,286.57,1.9,2.33,0.05,2.45,5.73,3.02
4015652579,C1,186.86,1.88,2.34,0.04,1.6,3.74,1.99
4015652580,D1,122.23,1.88,2.37,0,1.03,2.44,1.3
4015652581,E1,127.99,2.24,2.08,3.3,1.23,2.56,1.14
4015652582,F1,4.25,1.47,0.61,0.1,0.14,0.08,0.06
4015652583,G1,107.07,1.85,2.09,0.08,1.02,2.14,1.15
4015652584,H1,179.04,1.87,2.23,0.07,1.61,3.58,1.92
4015652585,A2,160.85,1.9,2.36,0.01,1.36,3.22,1.69
4015652586,B2,7.02,1.69,1.05,0.03,0.13,0.14,0.08
4015652587,C2,99.98,1.7,1.65,2.01,1.21,2,1.17
4015652588,D2,92,1.89,2.3,0.01,0.8,1.84,0.97
4015652589,E2,183.08,1.88,2.35,0.02,1.56,3.66,1.94
4015652590,F2,72.07,1.95,2.21,0.01,0.65,1.44,0.74
4015652591,G2,80.4,1.8,1.6,0.16,1,1.61,0.9
4015652592,H2,103.46,1.91,2.06,0.03,1,2.07,1.08
4015652593,A3,67.79,1.9,2.33,-0.01,0.58,1.36,0.71
4015652594,B3,112.86,1.89,2.38,0,0.95,2.26,1.2
4015652595,C3,74.79,1.87,2.53,-0.01,0.59,1.5,0.8
4015652596,D3,97,1.87,2.38,0.01,0.81,1.94,1.04
4015652597,E3,119.47,1.89,2.39,-0.01,1,2.39,1.27
4015652598,F3,94.99,1.85,2.36,0.01,0.81,1.9,1.03
4015652599,G3,223.16,1.86,2.23,0.1,2,4.46,2.4
4015652600,H3,173.92,1.85,1.92,0.24,1.81,3.48,1.88
4015652601,A4,111.34,1.88,2.22,0.04,1,2.23,1.19
4015652602,B4,69.19,1.83,1.94,0.07,0.71,1.38,0.75
4015652603,C4,372.86,1.88,2.38,0.03,3.14,7.46,3.97
4015652604,D4,171.98,1.8,1.14,0.33,3.01,3.44,1.91
4015652605,E4,183.52,1.69,1.39,2.39,2.64,3.67,2.18
4015652606,F4,239.1,1.85,1.76,0.17,2.72,4.78,2.59
4015652607,G4,286.75,1.86,2.2,0.24,2.6,5.74,3.09
4015652608,H4,360.26,1.88,2.3,0.09,3.13,7.21,3.84
4015652609,A5,379.35,1.88,2.18,0.21,3.48,7.59,4.04
4015652610,B5,244.62,1.88,2.27,0.12,2.16,4.89,2.6
4015652611,C5,391.86,1.88,2.31,0.11,3.4,7.84,4.17
4015652612,D5,175.49,1.8,1.16,0.32,3.02,3.51,1.95
4015652613,E5,144.77,1.83,1.21,0.24,2.38,2.9,1.58
4015652671,F5,221.81,1.88,2.17,0.06,2.04,4.44,2.36
