,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
0,2022-02-01,RTB-CNS,Chemagen,2.05,2.49,90.24,13.536
1,2022-02-18,RTB-CNS,Chemagen,2.04,2.35,102.23,15.3345
2,2022-02-21,RTB-CNS,Chemagen,1.93,2.22,159.8,23.97
3,2022-02-04,RTB-CNS,Chemagen,1.96,-4.64,65.02,9.753
4,2022-02-24,RTB-CNS,Chemagen,2.08,2.2,64.1,9.615
5,2022-02-18,RTB-CNS,Chemagen,2.01,2.22,79.41,11.9115
6,2022-02-10,RTB-CNS,Chemagen,1.93,2.28,245.03,36.7545
7,2022-02-16,RTB-CNS,Chemagen,1.94,2.1,58.77,8.8155
8,2022-02-14,RTB-CNS,Chemagen,1.91,2.3,217.72,32.658
9,2022-02-04,RTB-CNS,Chemagen,1.87,-2.85,53.11,7.9665
10,2022-02-21,RTB-CNS,Chemagen,1.97,2.28,128.98,19.347
11,2022-02-16,RTB-CNS,Chemagen,2.08,2.37,68.66,10.299
12,2022-02-18,RTB-CNS,Chemagen,1.97,2.38,109.83,16.4745
13,2022-02-01,RTB-CNS,Chemagen,2.04,2.35,56.09,8.4135
14,2022-02-18,RTB-CNS,Chemagen,1.98,2.32,81.61,12.2415
15,2022-02-08,RTB-CNS,Chemagen,2.03,2.18,61.1,9.165
16,2022-02-08,RTB-CNS,Chemagen,1.99,2.16,175.69,26.3535
17,2022-02-07,RTB-CNS,Chemagen,1.9,1.81,75.38,11.307
18,2022-02-28,RTB-CNS,Chemagen,1.99,2.21,78.06,11.709
19,2022-02-24,RTB-CNS,Chemagen,1.98,2.22,89.77,13.4655
20,2022-02-04,RTB-CNS,Chemagen,1.95,8.14,81.8,12.27
21,2022-02-16,RTB-CNS,Chemagen,1.99,2.19,58.25,8.7375
22,2022-02-21,RTB-CNS,Chemagen,1.94,2.16,70.1,10.515
23,2022-02-25,RTB-CNS,Chemagen,1.98,2.38,73.27,10.9905
24,2022-02-24,RTB-CNS,Chemagen,1.98,2.2,96.13,14.4195
25,2022-02-18,RTB-CNS,Chemagen,2.01,2.2,87.95,13.1925
26,2022-02-16,RTB-CNS,Chemagen,1.87,2.39,86.75,13.0125
27,2022-02-14,RTB-CNS,Chemagen,2.0,2.03,47.81,7.1715
28,2022-02-01,RTB-CNS,Chemagen,1.98,2.22,122.94,18.441
29,2022-02-14,RTB-CNS,Chemagen,2.04,1.8,84.79,12.718500000000002
30,2022-02-10,RTB-CNS,Chemagen,1.9,2.41,103.42,15.513
31,2022-02-24,RTB-CNS,Chemagen,1.94,2.18,84.9,12.735
32,2022-02-07,RTB-CNS,Chemagen,1.91,2.19,135.22,20.283
33,2022-02-10,RTB-CNS,Chemagen,1.92,2.42,128.83,19.324500000000004
34,2022-02-21,RTB-CNS,Chemagen,1.94,2.36,102.0,15.3
35,2022-02-08,RTB-CNS,Chemagen,1.89,2.17,97.04,14.556000000000001
36,2022-02-21,RTB-CNS,Chemagen,1.93,2.17,74.72,11.208
