Sample name,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
sample_1,A1, 50.41,2.04,1.69,  0.07,  0.74,  1.26,  0.62
sample_2,B1, 39.12,2.21,1.52,  0.01,  0.64,  0.98,  0.44
sample_3,C1, 53.34,2.07,2.00,  0.06,  0.67,  1.33,  0.64
sample_4,D1, 38.93,2.04,1.85,  0.11,  0.52,  0.97,  0.48
sample_5,E1, 39.93,2.05,1.96,  0.03,  0.51,  1.00,  0.49
sample_6,F1, 96.32,2.03,1.98,  0.11,  1.22,  2.41,  1.19
sample_7,G1, 41.15,2.01,0.88,  0.04,  1.17,  1.03,  0.51
sample_8,H1, 42.44,1.95,1.64,  0.12,  0.65,  1.06,  0.54
sample_9,A2, 29.77,2.05,1.34,  0.03,  0.56,  0.74,  0.36
sample_10,B2, 41.59,1.97,0.89,  0.08,  1.16,  1.04,  0.53
sample_11,C2,  1.55,2.49,1.13,  0.02,  0.03,  0.04,  0.02
sample_12,D2,  1.95,1.78,1.43,  0.05,  0.03,  0.05,  0.03
blank_13,E2,  0.00,-,-,  0.00,  0.00,  0.00,  0.00
