,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
0,2022-01-21,RTB-CNS,Chemagen,2.11,2.78,51.63,7.7445
1,2022-01-31,RTB-CNS,Chemagen,1.92,2.28,90.6,13.59
2,2022-01-14,RTB-CNS,Chemagen,1.9,2.26,145.17,21.7755
3,2022-01-21,RTB-CNS,Chemagen,2.03,2.46,119.11,17.8665
4,2022-01-17,RTB-CNS,Chemagen,1.91,2.08,80.55,12.0825
5,2022-01-21,RTB-CNS,Chemagen,2.0,2.27,124.25,18.6375
6,2022-01-17,RTB-CNS,Chemagen,1.91,2.07,157.61,23.641500000000004
7,2022-01-24,RTB-CNS,Chemagen,1.93,2.44,56.57,8.4855
8,2022-01-12,RTB-CNS,Chemagen,1.93,2.05,120.98,18.147
9,2022-01-25,RTB-CNS,Chemagen,1.98,1.83,60.66,9.099
10,2022-01-12,RTB-CNS,Chemagen,1.92,1.62,112.4,16.86
11,2022-01-31,RTB-CNS,Chemagen,1.93,2.28,83.14,12.471
12,2022-01-07,RTB-CNS,Chemagen,2.14,2.34,36.11,5.4165
13,2022-01-07,RTB-CNS,Chemagen,1.94,1.89,82.06,12.309
14,2022-01-20,RTB-CNS,Chemagen,2.02,2.32,71.58,10.737
15,2022-01-20,RTB-CNS,Chemagen,2.01,2.51,113.08,16.962
16,2022-01-14,RTB-CNS,Chemagen,1.94,2.32,143.19,21.4785
17,2022-01-14,RTB-CNS,Chemagen,1.91,1.99,151.93,22.7895
18,2022-01-12,RTB-CNS,Chemagen,1.97,2.11,50.7,7.605
19,2022-01-24,RTB-CNS,Chemagen,1.92,2.37,59.44,8.916
20,2022-01-27,RTB-CNS,Chemagen,1.95,2.29,96.83,14.5245
21,2022-01-17,RTB-CNS,Chemagen,1.97,2.28,60.99,9.1485
22,2022-01-24,RTB-CNS,Chemagen,1.92,2.2,98.55,14.7825
23,2022-01-27,RTB-CNS,Chemagen,1.97,2.26,83.21,12.4815
24,2022-01-20,RTB-CNS,Chemagen,2.01,2.46,67.26,10.089
25,2022-01-17,RTB-CNS,Chemagen,1.97,1.87,76.85,11.5275
26,2022-01-24,RTB-CNS,Chemagen,1.94,2.48,96.89,14.5335
27,2022-01-31,RTB-CNS,Chemagen,1.87,2.09,45.72,6.858
28,2022-01-07,RTB-CNS,Chemagen,1.99,2.34,73.87,11.0805
29,2022-01-14,RTB-CNS,Chemagen,1.99,2.13,65.58,9.837
30,2022-01-25,RTB-CNS,Chemagen,2.0,2.38,73.56,11.034
31,2022-01-25,RTB-CNS,Chemagen,2.06,2.49,69.47,10.4205
32,2022-01-27,RTB-CNS,Chemagen,2.04,1.61,111.8,16.77
33,2022-01-24,RTB-CNS,Chemagen,1.91,2.58,50.93,7.6395
34,2022-01-14,RTB-CNS,Chemagen,1.94,1.99,73.76,11.064
35,2022-01-21,RTB-CNS,Chemagen,2.0,1.38,60.18,9.027
36,2022-01-25,RTB-CNS,Chemagen,1.93,2.25,164.53,24.6795
37,2022-01-21,RTB-CNS,Chemagen,2.06,2.61,75.71,11.3565
38,2022-01-12,RTB-CNS,Chemagen,1.92,1.01,64.04,9.606000000000002
39,2022-01-21,RTB-CNS,Chemagen,1.94,2.37,81.99,12.2985
40,2022-01-17,RTB-CNS,Chemagen,1.99,2.24,102.25,15.3375
41,2022-01-21,RTB-CNS,Chemagen,2.04,2.41,77.87,11.6805
42,2022-01-25,RTB-CNS,Chemagen,2.07,1.47,73.69,11.0535
43,2022-01-17,RTB-CNS,Chemagen,1.88,2.19,66.79,10.0185
44,2022-01-31,RTB-CNS,Chemagen,1.9,2.23,79.24,11.886
45,2022-01-21,RTB-CNS,Chemagen,1.98,2.15,83.02,12.453
0,2022-02-01,RTB-CNS,Chemagen,2.05,2.49,90.24,13.536
1,2022-02-18,RTB-CNS,Chemagen,2.04,2.35,102.23,15.3345
2,2022-02-21,RTB-CNS,Chemagen,1.93,2.22,159.8,23.97
3,2022-02-04,RTB-CNS,Chemagen,1.96,-4.64,65.02,9.753
4,2022-02-24,RTB-CNS,Chemagen,2.08,2.2,64.1,9.615
5,2022-02-18,RTB-CNS,Chemagen,2.01,2.22,79.41,11.9115
6,2022-02-10,RTB-CNS,Chemagen,1.93,2.28,245.03,36.7545
7,2022-02-16,RTB-CNS,Chemagen,1.94,2.1,58.77,8.8155
8,2022-02-14,RTB-CNS,Chemagen,1.91,2.3,217.72,32.658
9,2022-02-04,RTB-CNS,Chemagen,1.87,-2.85,53.11,7.9665
10,2022-02-21,RTB-CNS,Chemagen,1.97,2.28,128.98,19.347
11,2022-02-16,RTB-CNS,Chemagen,2.08,2.37,68.66,10.299
12,2022-02-18,RTB-CNS,Chemagen,1.97,2.38,109.83,16.4745
13,2022-02-01,RTB-CNS,Chemagen,2.04,2.35,56.09,8.4135
14,2022-02-18,RTB-CNS,Chemagen,1.98,2.32,81.61,12.2415
15,2022-02-08,RTB-CNS,Chemagen,2.03,2.18,61.1,9.165
16,2022-02-08,RTB-CNS,Chemagen,1.99,2.16,175.69,26.3535
17,2022-02-07,RTB-CNS,Chemagen,1.9,1.81,75.38,11.307
18,2022-02-28,RTB-CNS,Chemagen,1.99,2.21,78.06,11.709
19,2022-02-24,RTB-CNS,Chemagen,1.98,2.22,89.77,13.4655
20,2022-02-04,RTB-CNS,Chemagen,1.95,8.14,81.8,12.27
21,2022-02-16,RTB-CNS,Chemagen,1.99,2.19,58.25,8.7375
22,2022-02-21,RTB-CNS,Chemagen,1.94,2.16,70.1,10.515
23,2022-02-25,RTB-CNS,Chemagen,1.98,2.38,73.27,10.9905
24,2022-02-24,RTB-CNS,Chemagen,1.98,2.2,96.13,14.4195
25,2022-02-18,RTB-CNS,Chemagen,2.01,2.2,87.95,13.1925
26,2022-02-16,RTB-CNS,Chemagen,1.87,2.39,86.75,13.0125
27,2022-02-14,RTB-CNS,Chemagen,2.0,2.03,47.81,7.1715
28,2022-02-01,RTB-CNS,Chemagen,1.98,2.22,122.94,18.441
29,2022-02-14,RTB-CNS,Chemagen,2.04,1.8,84.79,12.718500000000002
30,2022-02-10,RTB-CNS,Chemagen,1.9,2.41,103.42,15.513
31,2022-02-24,RTB-CNS,Chemagen,1.94,2.18,84.9,12.735
32,2022-02-07,RTB-CNS,Chemagen,1.91,2.19,135.22,20.283
33,2022-02-10,RTB-CNS,Chemagen,1.92,2.42,128.83,19.324500000000004
34,2022-02-21,RTB-CNS,Chemagen,1.94,2.36,102.0,15.3
35,2022-02-08,RTB-CNS,Chemagen,1.89,2.17,97.04,14.556
36,2022-02-21,RTB-CNS,Chemagen,1.93,2.17,74.72,11.208
0,2022-03-24,RTB-CNS,Chemagen,2.0,2.45,67.87,10.1805
1,2022-03-21,RTB-CNS,Chemagen,1.93,2.03,66.36,9.954
2,2022-03-25,RTB-CNS,Chemagen,2.06,2.52,124.28,18.642
3,2022-03-17,RTB-CNS,Chemagen,1.96,2.31,149.23,22.3845
4,2022-03-30,RTB-CNS,Chemagen,2.04,2.2,83.34,12.501
5,2022-03-25,RTB-CNS,Chemagen,2.03,2.48,148.18,22.227
6,2022-03-24,RTB-CNS,Chemagen,1.98,2.6,77.8,11.67
7,2022-03-28,RTB-CNS,Chemagen,2.21,2.37,77.35,11.6025
8,2022-03-14,RTB-CNS,Chemagen,1.94,2.0,154.21,23.1315
9,2022-03-17,RTB-CNS,Chemagen,2.26,2.88,76.55,11.4825
