,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
0,2022-01-14,RDC,Chemagen,1.91,2.19,112.82,16.923
1,2022-03-07,RDC,Chemagen,1.95,2.23,85.22,12.783
2,2022-03-28,RDC,Chemagen,2.07,2.32,85.58,12.837
3,2022-03-09,RDC,Chemagen,1.99,2.2,165.76,24.864
4,2022-03-25,RDC,Chemagen,1.98,2.77,82.44,12.366
5,2022-03-10,RDC,Chemagen,1.93,2.27,128.57,19.2855
6,2022-01-20,RDC,Chemagen,2.05,2.38,74.89,11.2335
7,2022-02-01,RDC,Chemagen,2.01,2.35,59.7,8.955
8,2022-03-14,RDC,Chemagen,1.83,2.37,51.58,7.737
9,2022-01-27,RDC,Chemagen,2.02,1.96,100.93,15.139500000000002
10,2022-02-25,RDC,Chemagen,2.18,2.41,75.93,11.389500000000002
11,2022-01-31,RDC,Chemagen,1.89,2.15,72.57,10.885499999999999
12,2022-02-04,RDC,Chemagen,1.93,-7.22,78.15,11.7225
13,2022-03-14,RDC,Chemagen,1.96,2.23,100.12,15.018
14,2022-03-30,RDC,Chemagen,1.94,2.32,113.43,17.0145
15,2022-03-09,RDC,Chemagen,2.03,2.25,246.76,37.014
16,2022-03-17,RDC,Chemagen,1.93,2.33,68.11,10.2165
17,2022-01-31,RDC,Chemagen,1.93,2.33,98.2,14.73
18,2022-02-18,RDC,Chemagen,1.97,2.3,108.75,16.3125
19,2022-02-21,RDC,Chemagen,1.96,2.14,108.24,16.236
20,2022-03-07,RDC,Chemagen,1.98,2.31,135.31,20.2965
21,2022-02-14,RDC,Chemagen,1.93,2.19,50.72,7.608
22,2022-03-10,RDC,Chemagen,1.94,2.14,162.17,24.325499999999998
23,2022-02-10,RDC,Chemagen,2.15,2.41,53.82,8.073
24,2022-03-14,RDC,Chemagen,1.9,2.06,99.16,14.874
25,2022-03-24,RDC,Chemagen,2.07,2.59,64.68,9.702000000000002
26,2022-02-21,RDC,Chemagen,1.97,2.34,64.08,9.612
27,2022-03-11,RDC,Chemagen,2.0,2.35,131.67,19.750499999999995
28,2022-02-28,RDC,Chemagen,1.99,1.8,116.74,17.511
29,2022-02-28,RDC,Chemagen,1.96,2.25,106.16,15.924
30,2022-01-31,RDC,Chemagen,1.93,2.32,75.08,11.262
31,2022-02-08,RDC,Chemagen,1.94,1.89,57.32,8.598
32,2022-03-03,RDC,Chemagen,1.98,1.97,33.13,4.9695
33,2022-01-17,RDC,Chemagen,1.98,2.07,91.75,13.7625
34,2022-02-07,RDC,Chemagen,1.94,2.18,95.39,14.3085
35,2022-02-25,RDC,Chemagen,2.02,2.25,216.44,32.466
36,2022-01-12,RDC,Chemagen,2.01,1.84,50.45,7.5675
37,2022-01-14,RDC,Chemagen,1.9,2.23,118.03,17.7045
38,2022-02-16,RDC,Chemagen,1.99,2.28,105.53,15.8295
39,2022-01-17,RDC,Chemagen,1.93,2.23,56.92,8.538
40,2022-01-17,RDC,Chemagen,1.96,2.29,85.36,12.804
41,2022-02-04,RDC,Chemagen,1.85,-4.52,68.1,10.215
42,2022-02-14,RDC,Chemagen,1.91,2.18,95.05,14.2575
43,2022-02-16,RDC,Chemagen,1.9,2.38,70.92,10.638
44,2022-03-03,RDC,Chemagen,2.06,2.09,68.57,10.285499999999999
45,2022-03-14,RDC,Chemagen,1.98,2.11,85.89,12.8835
